state,state_ab,county,county_ab,fips,county_name
Alabama,AL,Autauga,AU,1001,"Autauga, Alabama"
Alabama,AL,Baldwin,BA,1003,"Baldwin, Alabama"
Alabama,AL,Barbour,BR,1005,"Barbour, Alabama"
Alabama,AL,Bibb,BI,1007,"Bibb, Alabama"
Alabama,AL,Blount,BL,1009,"Blount, Alabama"
Alabama,AL,Bullock,BU,1011,"Bullock, Alabama"
Alabama,AL,Butler,BT,1013,"Butler, Alabama"
Alabama,AL,Calhoun,CA,1015,"Calhoun, Alabama"
Alabama,AL,Chambers,CH,1017,"Chambers, Alabama"
Alabama,AL,Cherokee,CE,1019,"Cherokee, Alabama"
Alabama,AL,Chilton,CI,1021,"Chilton, Alabama"
Alabama,AL,Choctaw,CO,1023,"Choctaw, Alabama"
Alabama,AL,Clarke,CL,1025,"Clarke, Alabama"
Alabama,AL,Clay,CY,1027,"Clay, Alabama"
Alabama,AL,Cleburne,CB,1029,"Cleburne, Alabama"
Alabama,AL,Coffee,CF,1031,"Coffee, Alabama"
Alabama,AL,Colbert,CR,1033,"Colbert, Alabama"
Alabama,AL,Conecuh,CN,1035,"Conecuh, Alabama"
Alabama,AL,Coosa,CS,1037,"Coosa, Alabama"
Alabama,AL,Covington,CV,1039,"Covington, Alabama"
Alabama,AL,Crenshaw,CW,1041,"Crenshaw, Alabama"
Alabama,AL,Cullman,CU,1043,"Cullman, Alabama"
Alabama,AL,Dale,DA,1045,"Dale, Alabama"
Alabama,AL,Dallas,DL,1047,"Dallas, Alabama"
Alabama,AL,DeKalb,DK,1049,"DeKalb, Alabama"
Alabama,AL,Elmore,EL,1051,"Elmore, Alabama"
Alabama,AL,Escambia,ES,1053,"Escambia, Alabama"
Alabama,AL,Etowah,ET,1055,"Etowah, Alabama"
Alabama,AL,Fayette,FA,1057,"Fayette, Alabama"
Alabama,AL,Franklin,FR,1059,"Franklin, Alabama"
Alabama,AL,Geneva,GE,1061,"Geneva, Alabama"
Alabama,AL,Greene,GR,1063,"Greene, Alabama"
Alabama,AL,Hale,HA,1065,"Hale, Alabama"
Alabama,AL,Henry,HE,1067,"Henry, Alabama"
Alabama,AL,Houston,HO,1069,"Houston, Alabama"
Alabama,AL,Jackson,JA,1071,"Jackson, Alabama"
Alabama,AL,Jefferson,JE,1073,"Jefferson, Alabama"
Alabama,AL,Lamar,LA,1075,"Lamar, Alabama"
Alabama,AL,Lauderdale,LU,1077,"Lauderdale, Alabama"
Alabama,AL,Lawrence,LW,1079,"Lawrence, Alabama"
Alabama,AL,Lee,LE,1081,"Lee, Alabama"
Alabama,AL,Limestone,LI,1083,"Limestone, Alabama"
Alabama,AL,Lowndes,LO,1085,"Lowndes, Alabama"
Alabama,AL,Macon,MA,1087,"Macon, Alabama"
Alabama,AL,Madison,MD,1089,"Madison, Alabama"
Alabama,AL,Marengo,MR,1091,"Marengo, Alabama"
Alabama,AL,Marion,MI,1093,"Marion, Alabama"
Alabama,AL,Marshall,MS,1095,"Marshall, Alabama"
Alabama,AL,Mobile,MO,1097,"Mobile, Alabama"
Alabama,AL,Monroe,MN,1099,"Monroe, Alabama"
Alabama,AL,Montgomery,MT,1101,"Montgomery, Alabama"
Alabama,AL,Morgan,MG,1103,"Morgan, Alabama"
Alabama,AL,Perry,PE,1105,"Perry, Alabama"
Alabama,AL,Pickens,PI,1107,"Pickens, Alabama"
Alabama,AL,Pike,PK,1109,"Pike, Alabama"
